OBJECTID,YEAR,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM
21440,2020,CA,CDF,NEU,NELSON,13212,2020/06/18 00:00:00+00,2020/06/23 00:00:00+00,11,110,109.60228,1,1,
21441,2020,CA,CDF,NEU,AMORUSO,11799,2020/06/01 00:00:00+00,2020/06/04 00:00:00+00,2,670,685.58502,1,1,
21442,2020,CA,CDF,NEU,ATHENS,18493,2020/08/10 00:00:00+00,2020/03/01 00:00:00+00,14,26,27.30048,1,1,
21443,2020,CA,CDF,NEU,FLEMING,7619,2020/03/31 00:00:00+00,2020/04/01 00:00:00+00,9,13,12.931545,1,1,
21444,2020,CA,CDF,NEU,MELANESE,8471,2020/04/14 00:00:00+00,2020/04/19 00:00:00+00,18,10.3,10.315964,1,1,
21445,2020,CA,CDF,NEU,PFE,14858,2020/07/05 00:00:00+00,2020/07/05 00:00:00+00,14,36,36.701931,1,1,
21446,2020,CA,DOD,BEA,VALLEY,15865,2020/07/15 00:00:00+00,2020/07/16 00:00:00+00,14,377,376.9104,1,1,
21447,2020,CA,CDF,NEU,WALDO,15275,2020/07/09 00:00:00+00,2020/07/12 00:00:00+00,9,10.7,10.102212,1,1,
21448,2020,CA,CDF,NEU,WILLOW,6064,2020/03/10 00:00:00+00,2020/03/11 00:00:00+00,5,34,33.973888,1,1,
21449,2020,CA,CDF,NEU,WILLOWS,21423,2020/09/09 00:00:00+00,2020/10/13 00:00:00+00,7,1311,1309.09,3,1,
21450,2020,CA,CDF,NEU,DYER,15012,2020/07/06 00:00:00+00,2020/07/06 00:00:00+00,8,195,194.66029,1,1,
21451,2020,CA,CDF,NEU,FARRIER,16781,2020/07/24 00:00:00+00,2020/07/31 00:00:00+00,8,22.7,22.634298,1,1,
21452,2020,CA,CDF,NEU,FIELDS,23897,2020/10/06 00:00:00+00,2020/10/09 00:00:00+00,5,55,55.328434,1,1,
